platform,press,keyword,comment
news,연합뉴스,이재명,이준석은 성매매하면서 전연령 다보는 토론회에 저급한 언행하는거 진짜 위선적임 누가보면 지는 깨끗한 줄
news,연합뉴스,이재명,"범죄자 윤석열,비리덩어리 김건희 심판선거입니다!!윤석열 아바타 김문수!! 유성리베라 호텔에서 성상납받은 사법리스크 이준석!!"
news,연합뉴스,이재명,OUT이다 너라는사람
news,연합뉴스,이재명,이재명후보님.. 이제그만 사퇴하시길 권합니다. 그리고 후보님의 영혼을 위해 인생을 위해 예수님 영접하시고 구원받으시길 바랍니다. 이제 그만 회게하시고 편히 사시다 천국가시길 바랍니다.
news,연합뉴스,이재명,박원순때랑 변한게 없네.자칭 인권을 챙긴다는 쪽이 피해자를 피해호소인으로 가해자로 만들더니 이번에도 연예인 피해자는 2차가해 전달자인 이준석을 가해자로. 정신나간 세상이여
news,연합뉴스,이재명,이야~개딸들은 아묻따 이재명이구나
news,연합뉴스,이재명,40살 윤석열 맞네... 얘도 큰일 낼 넘이네. 왜 이렇게 양아치가 되어가는걸까? ㅜㅜ
news,연합뉴스,이재명,"이준석 페이스북 글에 대한 반론 ""이준석은 나를 무고로 고소해 보라"" https://m.shinmoongo.net/174122 김경호 변호사님 글 꼭 보시길"
news,연합뉴스,이재명,젊은 정치인이라 갖었던 일말의 기대를 저버리고 전국민을 상대로 뭘 잘못했는지도 모르고 윤석열과같은 개사과나 하는 넘은 당장 정계은퇴해라~~인간 말종~~
news,연합뉴스,이재명,즈그 아들도 저리 키우는데 나라를 제대로 키울 수나 있겠습니까 정신차리세요 국민님들
news,연합뉴스,이재명,글고 지금 꺼무위키 보니까 얘가 봤다는 원글이 누군가가 여성혐오로 조작한 글이었다고 쉴드쳐놨는데. 개조해서 퍼뜨린 그 게시글이 원글임? 원글 원문 뜻 모름? 이재밍이 아들이 싸지른 그 게시판 글을 수사기관이 증거로 캡쳐한거 이게 원글임. 어제 니가 변명인터뷰하면서 원글 봤다고 했잖아. 그 원글 어디에 여성의 성적기관 얘기가 있음? 요도가 여성의 성적 기관임? 근데 니가 대선토론에서 여성의 성적기관이 젓가락 표현 한거잖아. 이재밍이 유권자 절반인 여성표 못받도록. 타후보를 낙선할 목적으로 허위사실유포입니다. 징역 7년이하구요. 수고.
news,연합뉴스,이재명,젓가락하면 이준석...이준석하면 젓가락 준스기 정치생명 끝난거다 ㅉㅉ
news,연합뉴스,이재명,그나저나 성매매건은 어떻게 된건가요?
news,연합뉴스,이재명,찢고 긁고 쑤시고~~~
news,연합뉴스,이재명,인지장애 인지부조화...대단하다...너 이런 사람이었구나?
news,연합뉴스,이재명,이재명 아들이 대선 나왔냐?
news,연합뉴스,이재명,다 알겠고 준석아 니 말이 다 사실인데 밥 쳐먹을 때 마다 니 발언 생각나서 좀 역겹다....
news,연합뉴스,이재명,펨코에 빠진 후보네
news,연합뉴스,이재명,서결이 닮아서 사과할줄 모르는 독단이구만^^
news,연합뉴스,이재명,재명이 아들이 너하고 비슷한 놈인거 같은데 너처럼 공공연하게 개장수도 아니고 나라와 국민을 들먹이지는 않잖아.걔는 지가 쓰레기인줄은 알고 너는 그걸 모른다는거지.
news,연합뉴스,이재명,팩트보다 더 중요한 건 팩트를 전달하는 방식이다....
news,연합뉴스,이재명,"지만 계속 변명하지 개혁신당은 천하람이고 누구고 아무도 실드 안 치는 이 현실. 넌 이번 대선으로 정치생명 끝, 니가 판 무덤에 들어갈 것."
