keyword,comment,nouns_adjs
이재명,어차피 민주당 경선이었는데 왜들 그리 화를 내는거임 대통령 선거에서 좋은 후보내서 선거로 이기면 되잖아 한 번 이겨봤잖아 이번에는 못 이길 거 같아서 겁나,"['민주당', '경선', '화', '거', '대통령', '선거', '좋', '후보', '선거', '번', '이번', '거', '같']"
이재명,이렇게 안티가 많은 건 생각해봐라 제발,"['안티', '많', '거', '생각']"
이재명,난 모르겠다 이민갑니다,['이민']
이재명,미쳐돌아가노,[]
이재명,추카추카 축하드려요 승리합시다,"['추카추카', '축하', '승리']"
이재명,이재명 김정은 시진핑 lets go,"['이재명', '김정은', '시진핑']"
이재명,아니 이런 댓글볼때마다 민심은 나락인데 지지율은 왜 높은거임 어떤인간들이 지지하는거야 도대체,"['댓글', '때', '민심', '나락', '지지', '높', '거', '인간', '지지', '거']"
이재명,여러분 이재명은 진짜 안돼요,['이재명']
이재명,2찍들 화난거 그저 웃김 깔깔,['거']
이재명,아니 어떤 게시물마다 여론 곱창인데 왜이리 지지율이높은거냐,"['게시물', '여론', '곱창', '지지', '높', '거']"
이재명,음주운전한사람이 대통령후보라니,"['음주운전', '사람', '대통령', '후보']"
이재명,모자이크좀,['모자이크']
이재명,댓다,[]
이재명,나라 망한다,['나라']
