platform,press,keyword,comment,tokens,score
news,기타,이재명,권성동 김문수도 털자.. 똑같은 잣대로,"['권성동', '김문수', '털', '똑같', '잣대']",0
news,기타,이재명,젓가락도 허위사실공표로 고발한다 하다가 진실로 밝혀짐 ㅎㄷㄷ,"['젓가락', '허위', '사실', '공표', '고발', '밝히']",0
news,기타,이재명,찢재명 콩가루집안,"['찢재명', '콩가루', '집안']",0
news,기타,이재명,역시 내란당!!!!,['내란'],0
news,기타,이재명,아들 벌금건은 현재 대통령을 하고 있었어도 사과해야할 일이다,"['아들', '벌금', '건', '대통령', '사과']",0
news,기타,이재명,너도 내란공조범이네~~~이재명이 대통령 돼서 내린범 모조리 정리하지~~~,"['내란', '공조', '범이네', '이재명', '대통령', '내리', '정리']",0
news,기타,이재명,더럽고저급한국힘내란세력들!정책으로는도저히이길수없으니별짓을다하네 너희들은정권을가질자격도없고국민들이주지도않는다 아마도영원히!!!,"['더럽', '저급', '국', '힘내', '세력', '정책', '이기', '별짓', '정권', '가지', '자격', '국민', '주']",-1
news,기타,이재명,하나하나하나하나 다 불법이라는 국힘 왜이리 찌질하냐 ㅋㅋㅋㅋ,"['불법', '국', '힘', '찌질하냐']",-2
news,기타,이재명,네거티브.말고는.그.무엇도 없는 대책없는.내란의힘. 나라가 풍전등화인데 지들 권력 잡는데만 혈안인 극우 내란세력 반드시.척결하자,"['네거티브', '말', '대책', '내란', '힘', '나라', '풍전등화', '권력', '잡', '혈안', '극우', '내란', '세력', '척결']",0
news,기타,이재명,참 더럽게도 선거한다... 역시 내란당 답다,"['더럽', '선거', '내란']",0
news,기타,이재명,이재명은 사퇴하라 이재명과 유시민은 생각과 이념이 같은걸로 아는데.... 이재명 아들 젓가락에 이어 유시민이 고졸 생산직노동자를 바라보는 관점이 .... 이재명은 사퇴하라,"['이재명', '사퇴', '이재명', '유시민', '생각', '이념', '알', '이재명', '아들', '젓가락', '잇', '유시민', '고졸', '생산직', '노동자', '바라보', '관점', '이재명', '사퇴']",0
news,기타,이재명,조국 털고 이재명 3ㄴ녀간 털었으면 됐다. 아내까지 130여군데 압수수색해서 7만8천원 기소했으면 되었다./이제 가족은 좀 냅두어라 김문수도 털어봐라 헬기 100여번 탔는 데 전부 공적 업무인지 살펴보자 근데 왜 도지사가 소방헬기 타고 다니나 김문수는 법카 안썼나???,"['조국', '털', '이재명', '녀간', '털', '아내', '압수', '수색', '원', '기소', '가족', '냅두', '김문수', '털', '헬기', '타', '공', '업무', '살펴보', '도지사', '소방', '헬기', '타', '다니', '김문수', '법', '카', '쓰']",0
news,기타,이재명,수상한돈 어디서. 나왔을까 범죄집안. 부전자지 아바이동무는 총각 꽁짜거시기 음주운전 가짜검사 아들 마눌 법카. 아들 성매수. 방통법 벌금 500 만윈젓가락 이런넘이 국민한태 법을 지키라고 아구야. 미츠긋따.,"['수상', '돈', '나오', '범죄', '집안', '부전', '자지', '아바이', '동무', '총각', '꽁짜', '음주운전', '가짜', '검사', '아들', '눌', '법카', '아들', '성', '매수', '방통', '법', '벌금', '윈', '젓가락', '국민', '법', '지키', '아구', '미츠긋따']",-4
news,기타,이재명,고학력에 금융사에 일했는데 돈2억이 없겠늬??????? 이재명 아들이라고 금융사에서 쫓겨나고 촌에서 원룸살이 한다는데 좀 그만 괴롭히라.... 니들도 자식이 있으면,"['학력', '금융사', '일하', '돈', '없겠늬', '이재명', '아들', '금융사', '쫓겨나', '촌', '원룸', '살이', '괴롭히', '자식', '있']",0
news,기타,이재명,"호랑이 못 잡으니까, 호랑이 새끼 잡으려고 용을 쓴다. 대선후가 이재명 아들이구나","['호랑이', '잡', '호랑이', '새끼', '잡', '용', '쓰', '대선', '후', '이재명', '아들']",0
news,기타,이재명,우리나라에 일사주재의 원칙이란게 있는거 잘 알잖아! 이미 법원의 판단을 받고 항소 한하고 벌금으로 이미 끝난 사건을 수사 한다고 ! ㅋㅋㅋ 그럼 이제 이재명 아들 도박 다시 수사하고 국짐 것들 검찰에서 바주고 넘어간거 다시 수사해도 되는거야!,"['우리나라', '사', '주재', '원칙', '알', '법원', '판단', '받', '항소', '한', '벌금', '끝나', '사건', '수사', '이재명', '아들', '도박', '수사', '국', '짐', '검찰', '바', '주', '넘어가', '시', '수사']",-1
news,기타,이재명,20대후반 30대 그정도 돈도 없겠나니들은 그 나이에 얼마 있었어?,"['후반', '정도', '돈', '나이', '얼마']",0
news,기타,이재명,그래도 좋단다 이재명,"['좋', '이재명']",0
news,기타,이재명,이렇게까지 해야하나? 진짜 지독하다 국민의힘. 아주 온 가족을 풍비박산 내는구나,"['이렇', '지독하', '국민', '힘', '가족', '풍비박산', '내']",0
news,기타,이재명,"국힘의 정책을 가지고 얘기해줬으면 좋겠다.국방, 정치, 경제, 문화 등등","['국', '힘', '정책', '가지', '얘기', '좋', '국방', '정치', '경제', '문화']",0
news,기타,이재명,추정으로 보발하거라 ! 그래서 사실이 아니면 그 책임으로 의원직 내려놓고 ᆢ 더러운 자식들 ㄹ,"['추정', '보발', '사실', '책임', '의원직', '내려놓', 'ᆢ', '더럽', '자식']",0
news,기타,이재명,"누군가 대통령되면 대통령, 부인, 아들, 모두 검찰 조사 재판울 받으면 희대의 사건이네...민주주의는 만인은 법 앞에 평등하다....","['대통령', '대통령', '부인', '아들', '검찰', '조사', '재판', '울', '받', '희대', '사건', '민주주의', '만인', '법', '앞', '평등']",0
news,기타,이재명,검토가 아니라 빨리 형사고발하세요..검토할 시간이 어디있담,"['검토', '형사', '고발', '검토', '시간']",0
news,기타,이재명,내란단은 해체가 답이다.내란 음모도 당을 해체했지.국개박탈은 덤이다.,"['내란', '단', '해체', '답', '내란', '음모', '당', '해체', '국', '개', '박탈', '덤']",-2
news,기타,이재명,C 1 ㅣ 1 ㅂ 1 ㅏ 1 ㄹ 진짜 전나게 드럽게 선거하네....극우꼴통내란폭동세력 아니랄까봐...,"['진짜', '전', '나', '드럽', '선거', '극우', '꼴통', '내란', '폭동', '세력']",0
news,기타,김문수,누가 봐도 이상한 사람 맞음. 시민들 앞에서 자신은 노조를 모른다고 했는데 알고 보니 노조위원장까지 엮임한 경력이 있음. 구라를 쳐도 생각 좀 하고 치시길,"['이상', '맞', '시민', '앞', '자신', '노조', '모르', '알', '노조', '위원장', '엮이', '경력', '있', '구라', '치', '생각', '치']",0
news,기타,김문수,당신 부인이 개그프로에 나와서 다른 후보자 부인 비웃은거나 먼저 생각해. 미친건가.,"['부인', '개그', '프로', '나오', '후보자', '부인', '비웃', '생각', '미치']",0
news,기타,김문수,기자님 광운이 꼬봉. 탬버린의 그녀서방 윤머저리 꼬봉이. 지사시절. 뭐 땜에 헬기를 그리 많이 탓을까요???,"['기자', '광운', '꼬봉', '탬버린', '서방', '윤', '머저리', '꼬봉이', '지사', '시절', '헬기', '타']",-2
news,기타,김문수,ㅋㅋㅋ 김문수 웃기네!!! 잠깐 나와 설쳐도 온갖 말 다나오는데 쯧쯯 문수씨 마누라 못 생겼어요,"['김문수', '웃기', '나오', '설치', '나오', '쯧쯯', '문수', '씨', '마누라', '생기']",0
news,기타,김문수,전광훈이한테 헌금은 얼마나 했는지 말해봐라..그래서 그러고 사는구나.,"['전광훈', '헌금', '그러', '사']",0
