platform,press,keyword,comment
news,기타,이재명,그래야 니들한테 한표라도 더줄까 저러는거지....난 이미 투표했음 ㅋㅋㅋ
news,기타,이재명,일단 증거 없이 고소 ㅋㅋ
news,기타,이재명,모지리들의 대환장 파티구나
news,기타,이재명,너희들은 국민들을 위해 뭔가를 하겠다는 생각은 아예 하지를 않는거지? 당론이 이재명인거지?
news,기타,이재명,대선 끝났다 해도 계속 밀어 붙혀라 이놈 집구석은 올셋트가 범죄 집단이다
news,기타,이재명,윤석열 아바타 그만포기해라
news,기타,이재명,이회창은 삐적마른 아들 군면제 받았다고 선거에서 졌다정몽준 십대 아들이 맞는 말 했다 아버지 정치 접었다. 왜 민주당은 남의 자식들을 뜯어먹지 못해 난리면서 재명이 아들은 괜찮은거냐
news,기타,이재명,국적도 모르는 인간이 왜 대통나오나 일본으로 가라
news,기타,이재명,국힘아 헛다리 그만 짚고 망해가는 당을 어찌 살릴지나 생각해.
news,기타,이재명,"이재명후보 아들의 도박행위 및 음란글게시건은 2019년도에 발생한 것으로 지난대선 내내 이재명후보의 발목을 잡았고 큰 상처와 타격을 안겨주었다. 또한 4년전에 공식으로 사죄문을 발표하는 외에 기회있을때마다 사죄를 거듭했던 적이 있다. 사실 지난대선때 아깝게 패한 것도 아들사건의 영향이 없다 할수 없다. 아들도 벌금 500만윈으로 죄값을 어느정도 치륐고, 이재명후보는 그이상으로 댓가를 치뤘다. 그런데 이준석과 국힘당은 선거에서 위기에 몰리자 지난 대선에서에 과도한 정도로 우려먹은 사건을 끄집어 내서 또다시 재탕해 먹으려 하고 있다."
news,기타,이재명,그럴시간에 가서 선거운동이나해라
news,기타,이재명,언제까지 물어 뜯기만 할거야일들좀해라
news,기타,이재명,징글징글. 에휴 제발 저런정치인들 없어지길. 내란당 국짐당.
news,기타,이재명,뻔뻔하네.. 증여?ㅋ 본인이 더 지저분할텐데내란당이 할 얘기가 아닐텐데
news,기타,이재명,내란은? 거니는?
news,기타,이재명,부전자전...이죄명은 대통후보 사퇴나 해라! 국민들 보기가부끄럽지 않은가? 얼굴에 스테인레스 코팅한건 아니지?
news,기타,이재명,"잘했어 그 아버지에 그 아들이구나? 피는 못속여, 아드님도 훌륭한데 앞으로 대통 출마하겠어요. ㅎㅎㅎㅎㅎ ㅋㅋㅋㅋ ㄲㄲㄲ"
news,기타,이재명,잘했다. 나이 처먹고 전재산이 390만원인데 수천을 도박으로 날리고 몇억짜리 결혼하고... ? 대단한데? 어디서 돈이라도 찍어냈냐?? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
news,기타,이재명,이 도박한것..시체는 이죄멍일수있음.... 머리에 스쳐지나가는 나의 번뜩이는 감각.....
news,기타,이재명,제대로 된 직업도 수입도 없는 넘이 수억원대의 도박자금을 입금 했다고 하니 틀림없이 증여세 포탈이다. 세금 포탈이 문제가 아니라 도박자금 대주는 것이 정상이냐? 그런 것들이 나라를 운영한다고? 말이 되는 소릴 해야쥥...
news,기타,이재명,그렇게 할일이 없나? 별 짓거리를 다 하네~~국짐답다.
news,기타,이재명,잘했다
news,기타,이재명,좌파가 증여세를 못고치게 막고 있는 이런법들에 당해봐야 한다. 엄밀히 10년동안 5천만원 이상 세금 안내는 국민 모두가 법법자다. 국민 범법자 만드는 이런 법을 30여년산 개정도 안하는 국개들 다 조세 포탈로 탈탈 털었음 좋겠다.
news,기타,이재명,점점 피곤해진다.. 빨리 선거가 끝났으면 좋겠다
news,기타,이재명,손가락부대들이 작업시작하니?
news,기타,이재명,재명씨 잘 기억해둬요 당신은 정치보복 없다고 지껄이고 다닐적에 국민의힘당 정권은 당신만 아니라 부인 건드리고 아들 건드리고 조국은 일가족 도륙 내고 햇다는것을 잊지말아요 그렇게 당하면서도 정치보복없다고 하면 얼간이 취급받아요. 잊지말아요 당신의 정치적 적들은 가족도 서슴없이 건드리는 족속들인것을.
news,기타,이재명,회천대유 50억 퇴직금이나 조사하고 말해라
news,기타,이재명,국힘은 박정희때나. 이승만때나. 왜 바뀐게 없냐? 뒷조사하고 마타도어하고. 도대체 선거하면 공약은 제대로 된건 없고. 매번 비난 .욕설. 이런것만 할줄 아는지. 국민수준을 너무 우습게 보는듯
news,기타,이재명,좌파들은 남의 일은 조작도. 잘하면서 지들 잘못 들추면 발악. 철면피들
news,기타,이재명,찢틀러 드럼통제작 협력사들 바쁘겠네~~쎼쎼~
news,기타,이재명,게임은 끝났다 이재명대통령 당선 국짐당은 항복하고 투항하라
news,기타,이재명,뭐 묻은놈이 뭐 묻은놈 나무란다
news,기타,이재명,"됐고, 리박스쿨에 대해 말씀 좀 해보세요"
news,기타,이재명,주진우 이름 듣고 마음을 놓았다... 저 인간은 뭐 제대로 하는 거 하나도 없음 ㅋㅋㅋㅋㅋㅋ 그런데 저 인간이 윤석열 용와대 에이스였다고 하니... 나라꼴이 왜 이모양 이꼴인지 알 수 있는 케이스
news,기타,이재명,조작의 화신 국힘당 국민의 심판이 코앞이다
news,기타,이재명,순천여고생들 유시인이 으습게본건데 가만히 있나요 국민이 삶의 담파가중요한지 명예가중요한지 순천여고 집회하세요
news,기타,이재명,댓글은 리박스쿨~🎶 고발은 내란당~🎶 존재의 이유가 뭐냐 내란당아 위헌정당 해산 준비나해라
