platform,press,keyword,comment
news,SBS,이재명,걱정마 내 주변 지인들 내가족들 전부 너 찍을일 없음그리고 주변에 이재명지지하던 사람들도 전부 지지철회하겠다더라? 토론회를 보고 마음이 바뀌었대 밑천 다드러난거지
news,SBS,이재명,없을것이라고 했더니 진짜 없는줄 알더라
news,SBS,이재명,사전투표후보자 안내문보고 깜짝 놀랬다 총각행세외 음주운전 에다 공무원사칭 까지 전과기록있는거보고~
news,SBS,이재명,대법원장 탄핵 시도가 바로 정치 보복!
news,SBS,이재명,거짓말 ᆢ 법무부장관 째려봤다고 ᆢㅋ 난 옷 믿겠음
news,SBS,이재명,니말 믿는 사람 있나? 재판 받고 깜빵으로 가라 !!!!
news,SBS,이재명,1번!!!찍는순간...폭싹...속았수다....ㅎㅎㅎ
news,SBS,이재명,정치보복의 일인자 문죄인 그리고 죄명은 니놈은 보복이아니라 원래 지은죄가 많은거자나 𐨛𐨛𐨛𐨛𐨛𐨛𐨛𐨛𐨛
news,SBS,이재명,이재명보다 더 나쁜 놈은 이재명 찍는 놈이다
news,SBS,이재명,TF가 제일 쉬운말이지.
news,SBS,이재명,불법 세력에 대해서 만큼은 단죄해야 이런 일이 재발하지 않습니다. 법을 바로세워주세요
news,SBS,이재명,남이 하는 정치보복은 안하고 지가 하는 적폐청산만 하겠지. 적폐청산은 꼭 필요한데 누가 적폐인지는 누가 정하냐?
news,SBS,이재명,다른말은. 읻어도 니말은 못믿는다
news,SBS,이재명,리자오밍 만세~~~더불어공산당 만세~~
news,SBS,이재명,지금 하는 짓이 보복인데 당선되면 더하겠지 거짓말이 일상이니 말이 다 공허하다
news,SBS,이재명,지금도 내란 이야기하는데 정말일까?
news,SBS,이재명,6월3일모두가 이변에 놀랄거다 절대 저 범죄전과자가 당선되어서는안된다
news,SBS,이재명,"정치보복은 없지만, 내란세력은 척결하겠다."
news,SBS,이재명,독일 공산주의자가 내세운 경제이론으로 뭘 구성하나.
news,SBS,이재명,다른건몰라도 윤석열 김건희 한덕수 권성동 나경원이는 제거해야한다
news,SBS,이재명,행정에서 최고로 하기 쉬운말이 TF구성한다는 말이니라...
news,SBS,이재명,정치보복은 말구요 헌법을 개 무시하는 국짐당넘들과 극우 유튜브들 철처히 조사해서 위법사실이 있다면 처벌합시다
news,SBS,이재명,지지율 격차가 줄어드니 찢이 급한가보네.. 누가 당선이 되든 찢이 감방에 가는일은 변함없을 것..
news,SBS,이재명,"셰셰 잡범5 형수쌍욕 대가 측근 사라지는 이찢자이밍 ""비상경제대응 TF 먼저 찢으러 구성…정치보복 없을 것""이라 구라쳐"
news,SBS,이재명,"중국인 A씨는 국내에 입국해 건강보험에 등록돼 지난 2017년에 배우자, 자녀, 며느리, 사위, 손자, 외손자까지 총 8명을 피부양자로 등록시켰다. 또 2018년에는 조모, 부, 모, 처조부, 장인, 장모, 배우자, 자녀까지 총 9명을 추가로 등록시켰다. 이들이 5년간 국내에서 진료를 받아 받은 건강보험 혜택은 총 30억 원에 달했다. [출처 의사신문] 대한민국은 중국 때문에 망합니다."
news,SBS,이재명,경제 경짜도 모르는 전과4범 사기꾼 도둑놈이 웃기고 자빠졌다!! 베네수엘라 안갈려면 절대로 이죄명을 찍으면 안됩니다!!
news,SBS,이재명,댓글부대 나라가 망해도 좋나
news,SBS,이재명,니말은 못믿어 ..가짜 총각 . 아들도 걸래더만 ㅡ여자연애인 카리나 향해 찟재명 아들 맞는말 하고 여자 밝힘증도 부전자전 ㅡ
news,SBS,이재명,대통령되면 경제박살내겠다는 말로들린다
news,SBS,이재명,"""정치보복 안한다 하니 진짜 안하는줄 알더라"" ㅡ찢ㅡ"
news,SBS,이재명,그냥 정치인들 싹다 끌어내서 빠따로 두들겨 패고 월급 다 반납하게 하면 안되나? 싹다 마음에 안드는데..........
news,SBS,이재명,=법위반=전과자=이재명이가=정치보복은 하지않는다 말은하지=대신=내란적폐청산=해야한다=하면서=그핑계로==정적 제거하겠지==잔꾀가많으넘인지라=박근혜를 존경한다하더니=진짜 존경한줄알더라라==말장난질칠뿐=니 사버방탄 덮기위해서==너 재판 받냐 안받냐==니 사버방탄 덮고 너가 살기위해==보복이란 말안쓸뿐==내란저폐펑산 선동할거아니냐=법위반 전과자를=어부지리로=당선시켜준==윤석렬=김건희=마음껏==난도질해라==하지만==너가=하늘로 손바닥을=가려도==다 가릴수없다==예를들어=도둑이=강도를=비판잘한다한들=도둑이=대통령감될수없고=도둑도 처벌받는다
news,SBS,이재명,그래 다 좋다~그래도 재판은 착실히 받고해야지~ 완전공산당하듯 지거는 싹 막아버리고~ ...가증스런인간! ....이런자는 대통령자격이없다~ 머리에든것도 없고!
news,SBS,이재명,정치는 잔인하게 해야한다 니입에서 했어
news,SBS,이재명,"말도 안되는 호텔경제학, 기본 소득, 부실한 공공 의료만 주구 장창 주장하고, 근거없는 주가 부양만 이야기하고, 러우전쟁, AI 데이터 센터 등으로 촉발된 글로벌 트렌드인 탈원전 정책 포기 움직임도 잘 모르고, RE100의 현실도 제대로 모르는 사람이 대통령이 된다고? 대통령이 되지도 못 하겠지만, 원래 일 못하는 사람이 항상 TF 타령하는 법. 전인구경제연구소 소장이 우리 나라가 주력해야하는 산업 하나만 꼽으라면 원전이라고 했을 때 원전요?라며 맥락을 이해 못함. 러중에 대응위해 트럼프는 곧 원전 빌전량 4배 행정명령 발표한다고."
news,SBS,이재명,"지금도 보복하고 있는 🐦 가 뭔 🐕 소리~ 검사들 탄핵시도, 대법원장 청문 특검 추진... 주디는 거짓말 지저대고 있으니 믿을 수 없다."
news,SBS,이재명,정치보복은 하지 마시고 죄지은것만 죄값 받게 하소서.내란세력과 옹호세력...김건희와 그 가족은 죄값 받아라.
news,SBS,이재명,적폐청산 미명 아래 정치보복부터 먼저 하고 그 다음으로 가진자들 돈 뜯어서 서민들에게 풀어 지지 받겠지. 문정부에서 했던 것 처럼.
news,SBS,이재명,"경제 할배가 와도 못살리는 경제를 대통령이 경제를 살려?? 무슨 신이냐?? 싹다 개소리 개수작이지!! 물론 정책으로 돈 풀거나 세금, 대출 금리를 줄여 숨통을 조금 이나마 트여 줄수 있겠으나, 국민 살림살이는 제자리이 거나 바닥 칠 뿐이여. 지금 전세계가 왜??!!!! 고물가 고금리인지를 경제적 시각으로 좀 봐봐라!!! 국민들 모두 함께 버티면서 이 시기를 극복해야는게 가장 중요 한것이다!! 기업을 더더욱 살리고 경쟁력을 강화 시키고 미래 사업에 투자를 해야만이 국민 살림살이를 좋게 만들 수 있다!!"
news,SBS,이재명,31번의 탄핵과 입법독재 이재명 총통의 더불어내란당이 진짜 내란세력임.검사사칭 총각사칭. 허위사실유포로 대법원 유죄! 전과5범. 인생자체가 가짜임. 니말을 누가 믿냐?
news,SBS,이재명,보복힌다는 말로들리네 ㅎㅎ
news,SBS,이재명,라고 했더니 그런줄 알더라
news,SBS,이재명,오직 친중공산화만 추구
news,SBS,이재명,거북섬 땡큐다. 여론 몰아 함 파보자
news,SBS,이재명,투포는 총알보다 빠르고 강하다 내란 잔당 투표로 먼저 골로 ...이번 투표는 계엄 잔당 청소하는 계기
news,SBS,이재명,보수는 정신병원으로 정치보복 공산주의 독재정치에 올인
news,SBS,이재명,그걸 누가 믿냐?!!
news,SBS,이재명,뭔소리야 제발 당한 만큼만 하자.
news,SBS,이재명,또 대장동 백현동 비리 만들려고?넌 이미 양치기소년이다
news,SBS,이재명,이분말은 반대로 들으면 정확
news,SBS,이재명,너부터 재판 다받고 교도소 가라
news,SBS,이재명,50%넘을땐 기고만장 하더만 왜? 갑자기 ㅋ 잘안되시나봐요. 두번의 토론보고 이재명 찍는다면 대한민국 국민이길 포기하신것 아니신지.
news,SBS,이재명,본인 뒷치닥거리들 자리는 안주고?
news,SBS,이재명,북으로 가라 김정은이 많이 참는다고 그럼 서울에 핵폭탄쏴달라 그소리로 들리네 북대변인
news,SBS,이재명,분열조장은 민주당 주특기지 내 맘에 안들면 다 반대하고 기본 민주주의를 모는당 민주주의가없는당 그래서 민주를 빼지 못하는 당
news,SBS,이재명,거짓말쟁이 때는 늦으리
news,SBS,이재명,정치보복은 하지말고 내란척결 수사는반듯히 해야하며 김건희관련 수사 꼭해서 두번다시 이런 비겁하고 천박한일이 없게해야합니다! 아울러 이재명후보님은 나라경제 민생 반듯히 성과를 만들어 주세요!!
news,SBS,이재명,"뒤에선 내가 그럴줄 알것지!!이럴거자나,,,"
news,SBS,이재명,이미 여러명 죽여놓고 ㅋㅋㅋㅋ
news,SBS,이재명,니까짓게 뭔데 정치보복 ㅋ 어디서 주워들은건 있어서 ㅋ
news,SBS,이재명,대통령되고 싶어 있는말 없는말 듣기 좋은말 난리구만 ㅎㅎ 입만살아서
news,SBS,이재명,정치보복없다하니 없는줄알더라
news,SBS,이재명,"셰셰 선생님, 주한미군 철수하면 주한중공군 오나요? 그리고 보복 1순위는 누구에요? 솔직히 말해봐요 킬재명님"
news,동아일보,이재명,대선후보라는 자들이 말꼬투리 잡는게 최고 유세니? 수준을 알고 덤벼라.
news,동아일보,이재명,2015년 지들 정권때 지정해놓고.
news,동아일보,이재명,거북섬을 호텔경제론으로 살려보자
news,동아일보,이재명,상가 투자했다가 골로가는 우수사례 케이스로다가 거북섬이 딱이라서... 거북섬 나락간거 한참전부터 부동산유투버들이 임장가서 확인사살한 영상이 수백개는 되는데.....
news,동아일보,이재명,종뷱 동아찌라시가 개수작 부리려다. 역풍 맞았네...
news,동아일보,이재명,"""거북섬 사업이 국가 마리나 항만으로 지정된 것이 2015년이며, 새누리당 박근혜 대통령과 남경필 지사가 경기도를 책임지던 시절"" 이단 사이비들과 극우쓰래기들은 남탓 내로남불만 하지."
news,동아일보,이재명,파파괴.. 이 사람은 진짜 너무 무섭다.
news,동아일보,이재명,뭔가 대단한 일 해내것처럼 이야기하더니 막상 알아보면 죄 말아먹은 도대체 제대로 한게 하나도 없네.. 김동연이가 같은 당이라 말은 안해서 그렇지 오물치우느라 허라가 휘겠다
news,동아일보,이재명,거북섬 유튜브에서 본적 있는데 정말 썪어빠진 정부라고 생각 했는데 에구 정부탓이 아닌 이재명이 한거였네 난 유세보고 알았음.미안하네 늦게 알아서
news,동아일보,이재명,대한민국 역사상 최고로 쫄딱 망한 거북섬 개발사업 이재명이 추진했다고 자랑한거냐?
news,동아일보,이재명,이번에 시흥 투표율 비율 봐야지. 이런소리듣고도 죄많고명긴애뽑으면 당해도 싸다
news,동아일보,이재명,"일 잘한다는 이재명이 경제지식 수준이, 커피원가 120원, 호텔노쇼에도 돈이돌아 경제가 살아난다는 호텔경제학과 같이 황당하기만 해. 그러니 하는 일마다 대장동 성남FC 같이 불법 탈법 논란에 휩싸이고 실제로 뭐 해놓은 게 없이 그저 자기선전, 과시밖에 없어. 유능하기는커녕 혹세무민하고 나라망조 들게 하는 포퓰리스트일 뿐이다."
news,동아일보,이재명,거북섬에 분양 받은 상가 공실 아니면 이자도 내지못해 경매 아니면 자살에 니가 꿈꾸는 세상이다.
news,동아일보,이재명,정말 이재명 제대로 한게 없다. 말로만 정치.
news,동아일보,이재명,방탄용 거북등껍질 같누 어항안에서 유세하는 쇼쟁이
news,동아일보,이재명,펨코발 늬우스 ㅋㅋㅋㅋㅋ 믿고 받아쓰는 동아일보 수준 ㅋㅋㅋㅋㅋ 에효 ㅉㅉㅉ 수준 참 처참하다
news,동아일보,이재명,도대체 뭘 잘해서 경제는 이재명이냐 이정도면 부채는 이재명 아니냐? 진짜 경제는 김문수이고
news,동아일보,이재명,거북섬 만든건 국힘 그거 살려보겠다고 사업유치한건이재명 근데 경제 망쳐서 공실만든건 윤석열
news,동아일보,이재명,서울 명동의 공실률과 압구정동 상가공실률도 상당하다. 이것은 윤석열 과 국민의 힘이 정치를 잘못 했기 때문이다. 이들이 실력이 없어 나라 경제를 망쳤기 때문이다.
news,동아일보,이재명,"법카로 삼시세끼 해결하면서 내수를 활성화한 치적, 여배우와 공짜연애를 하면서 비용절감한 치적, 5개의 재판을 요리조리 피하면서 대한민국 사법부의 문제점을 드러낸 치적은 왜 자랑을 안해??"
news,동아일보,이재명,"그동안 그나마 형수님 보물지도같은 폐륜적 욕설이나 비호감적 행위에도 불구하고 일은 잘한다, 말은잘한다 그 이미지로 밀고왔는데 일은 막상 까보니 김문수한테 밀리고(이렇게 한게 많은지 처음알았네 소록도가서 맨발로 청소했다는거도 이번에 알음) 말은 이준석한테 밀리고(준돌이가 뭐 물어볼라고 할때마다 움찔움찔하는거 진짜 웃김ㅋㅋ) 그동안 포장 잘되어온게 이번에 제대로 벗겨지는것일뿐~ 애초부터 개딸들이 만든 허상에 불과.. 잘생기기라도 했냐?? 그것도 아님"
